Hierarchy Level	Metric Name	Metric Value
3	Branch Mispredict	22.9
3	Machine Clears	27.9
4	Ucode_Assist	0.0
4	Machine_Restart	0.5
2	Back-End Bound	13.4
3	Memory Subsystem Bound	7.2
4	L2 Bound	2.3
4	L2 Miss	4.4
5	L3 Bound	3.1
5	Memory Bound	1.3
3	Core Bound	6.2
4	Serializing Operations	6.2
5	Pause	2.6
5	TPause	0.0
4	L1 Bound	0.0
4	RB Bound	0.0
4	Store Bound	0.0
4	Execution Bound	0.0
4	Allocation Bound	0.0
5	Allocation Restriction	0.0
2	Info Metrics	
3	Stores Bound	0.007984
3	Load Bound	0.136453
1	Average CPU Frequency	4540022943.548785
1	Total Thread Count	59
1	Paused Time	0.0
0	Effective Physical Core Utilization	8.8% (1.059 out of 12)
1	Effective Logical Core Utilization	6.5% (1.039 out of 16)
0	Collection and Platform Info	
1	Application Command Line	D:\Users\35239\PycharmProjects\AI_Project\.venv_web313\Scripts\python.exe "D:\Users\35239\PycharmProjects\AI_Project\_wsl_cache_measure.py" "--algo" "histogram" "--samples" "5000" 
1	Operating System	Microsoft Windows 11
1	Computer Name	ChouGrok
1	Result Size	34476448
1	Collection start time	17:29:21 13/06/2026 UTC
1	Collection stop time	17:29:23 13/06/2026 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-P
2	Frequency	3187201078
2	Logical CPU Count	16
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
