Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.333668
1	Clockticks	11027020000
2	Performance-core (P-core)	10405555000
2	Efficient-core (E-core)	621465000
1	Instructions Retired	13458701000
2	Performance-core (P-core)	12763935000
2	Efficient-core (E-core)	694766000
1	CPI Rate	0.819323
2	Performance-core (P-core)	0.815231
2	Efficient-core (E-core)	0.894495
1	MUX Reliability	0.960732
1	Performance-core (P-core)	
2	Retiring	19.4
3	Light Operations	17.7
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	7.4
4	Fused Instructions	2.4
4	Non Fused Branches	0.6
4	Other	7.3
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.7
4	Few Uops Instructions	1.7
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	25.6
3	Front-End Latency	17.6
4	ICache Misses	13.6
5	Code L2 Hit	0.0
5	Code L2 Miss	25.1
4	ITLB Misses	5.4
5	Code STLB Hit	3.6
5	Code STLB Miss	1.8
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	8.1
5	Mispredicts Resteers	3.4
5	Clears Resteers	4.7
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	4.6
3	Front-End Bandwidth	8.0
4	Front-End Bandwidth MITE	5.0
5	Decoder-0 Alone	0.3
4	Front-End Bandwidth DSB	3.5
4	Front-End Bandwidth LSD	0.3
4	MS	0.5
4	(Info) DSB Coverage	41.8
4	(Info) LSD Coverage	9.1
4	(Info) DSB Misses	6.9
2	Bad Speculation	32.0
3	Branch Mispredict	13.4
4	Other Mispredicts	2.7
3	Machine Clears	18.6
4	Other Nukes	18.6
2	Back-End Bound	23.0
3	Memory Bound	16.7
4	L1 Bound	7.3
5	DTLB Overhead	12.1
6	Load STLB Hit	6.4
6	Load STLB Miss	5.6
7	Load STLB Miss 4K	5.6
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	9.0
5	Lock Latency	2.6
5	Split Loads	0.0
5	FB Full	0.3
4	L2 Bound	1.3
5	L2 Hit Latency	8.9
4	L3 Bound	8.6
5	L3 Latency	1.9
5	SQ Full	1.0
4	DRAM Bound	16.5
5	Memory Bandwidth	33.6
5	Memory Latency	12.1
4	Store Bound	0.0
5	Store Latency	3.4
5	Split Stores	0.0
5	DTLB Store Overhead	4.6
6	Store STLB Hit	4.1
6	Store STLB Miss	0.5
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	6.2
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	4.6
5	Slow Pause	0.6
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	14.6
5	Cycles of 0 Ports Utilized	0.1
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	11.4
5	Cycles of 2 Ports Utilized	8.9
5	Cycles of 3+ Ports Utilized	30.4
6	ALU Operation Utilization	12.8
7	Port 0	12.9
7	Port 1	10.6
7	Port 6	22.9
6	Load Operation Utilization	12.1
6	Store Operation Utilization	10.7
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	17.2
3	Arith Ops	6.6
4	Non Divider	6.6
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	10.6
4	Loads	7.0
4	Stores	3.7
2	Front-End Bound	18.5
3	IFetch Latency	10.6
4	ICache Misses	4.4
4	ITLB Misses	1.8
4	BACLEARS	3.3
4	Branch Resteers	0.0
3	IFetch Bandwidth	8.0
4	Cisc	2.3
4	Decode	7.7
4	Pre-Decode Wrong	0.3
4	Front-End Other	1.0
2	Bad Speculation	50.8
